Label,Page,Addr,NumBytes,RegOffset,ReadLen,TwosCompl,RegScale,ReadFlag,WriteFlag,ReadProtected,CalReg,Default,BURSTMODE
DIAG_STAT,0,2,2,0,16,0,1,1,0,0,0,NONE,0
X_GYRO_LOW,0,4,4,0,32,1,1,1,0,0,0,NONE,1
X_GYRO_OUT,0,6,2,0,16,1,1,1,0,0,0,NONE,2
Y_GYRO_LOW,0,8,4,0,32,1,1,1,0,0,0,NONE,3
Y_GYRO_OUT,0,10,2,0,16,1,1,1,0,0,0,NONE,4
Z_GYRO_LOW,0,12,4,0,32,1,1,1,0,0,0,NONE,5
Z_GYRO_OUT,0,14,2,0,16,1,1,1,0,0,0,NONE,6
X_ACCL_LOW,0,16,4,0,32,1,1,1,0,0,0,NONE,7
X_ACCL_OUT,0,18,2,0,16,1,1,1,0,0,0,NONE,8
Y_ACCL_LOW,0,20,4,0,32,1,1,1,0,0,0,NONE,9
Y_ACCL_OUT,0,22,2,0,16,1,1,1,0,0,0,NONE,10
Z_ACCL_LOW,0,24,4,0,32,1,1,1,0,0,0,NONE,11
Z_ACCL_OUT,0,26,2,0,16,1,1,1,0,0,0,NONE,12
TEMP_OUT,0,28,2,0,16,1,1,1,0,0,0,NONE,13
TIME_STAMP,0,30,2,0,16,0,1,1,0,0,0,NONE,14
DATA_CNTR,0,34,2,0,16,0,1,1,0,0,0,NONE,15
X_DELTANG_LOW,0,36,4,0,32,1,1,1,0,0,0,NONE,
X_DELTANG_OUT,0,38,2,0,16,1,1,1,0,0,0,NONE,
Y_DELTANG_LOW,0,40,4,0,32,1,1,1,0,0,0,NONE,
Y_DELTANG_OUT,0,42,2,0,16,1,1,1,0,0,0,NONE,
Z_DELTANG_LOW,0,44,4,0,32,1,1,1,0,0,0,NONE,
Z_DELTANG_OUT,0,46,2,0,16,1,1,1,0,0,0,NONE,
X_DELTVEL_LOW,0,48,4,0,32,1,1,1,0,0,0,NONE,
X_DELTVEL_OUT,0,50,2,0,16,1,1,1,0,0,0,NONE,
Y_DELTVEL_LOW,0,52,4,0,32,1,1,1,0,0,0,NONE,
Y_DELTVEL_OUT,0,54,2,0,16,1,1,1,0,0,0,NONE,
Z_DELTVEL_LOW,0,56,4,0,32,1,1,1,0,0,0,NONE,
Z_DELTVEL_OUT,0,58,2,0,16,1,1,1,0,0,0,NONE,
XG_BIAS_LOW,0,64,2,0,32,1,1,1,1,0,0,NONE,
XG_BIAS_HIGH,0,66,2,0,16,1,1,1,1,0,0,NONE,
YG_BIAS_LOW,0,68,2,0,32,1,1,1,1,0,0,NONE,
YG_BIAS_HIGH,0,70,2,0,16,1,1,1,1,0,0,NONE,
ZG_BIAS_LOW,0,72,2,0,32,1,1,1,1,0,0,NONE,
ZG_BIAS_HIGH,0,74,2,0,16,1,1,1,1,0,0,NONE,
XA_BIAS_LOW,0,76,2,0,32,1,1,1,1,0,0,NONE,
XA_BIAS_HIGH,0,78,2,0,16,1,1,1,1,0,0,NONE,
YA_BIAS_LOW,0,80,2,0,32,1,1,1,1,0,0,NONE,
YA_BIAS_HIGH,0,82,2,0,16,1,1,1,1,0,0,NONE,
ZA_BIAS_LOW,0,84,2,0,32,1,1,1,1,0,0,NONE,
ZA_BIAS_HIGH,0,86,2,0,16,1,1,1,1,0,0,NONE,
FILT_CTRL,0,92,2,0,16,0,1,1,1,0,0,0,
RANG_MDL,0,94,2,0,16,0,1,1,0,0,0,NONE,
MSC_CTRL,0,96,2,0,16,0,1,1,1,0,0,193,
UP_SCALE,0,98,2,0,16,0,1,1,1,0,0,0,
DEC_RATE,0,100,2,0,16,0,1,1,1,0,0,0,
GLOB_CMD,0,104,2,0,16,0,1,0,1,0,0,NONE,T
FIRM_REV,0,108,2,0,16,0,1,1,0,0,0,NONE,
FIRM_DM,0,110,2,0,16,0,1,1,0,0,0,NONE,
FIRM_Y,0,112,2,0,16,0,1,1,0,0,0,NONE,
PROD_ID,0,114,2,0,16,0,1,1,0,0,0,NONE,
SERIAL_NUM,0,116,2,0,16,0,1,1,0,0,0,NONE,
USER_SCR_1,0,118,2,0,16,0,1,1,1,0,0,NONE,
USER_SCR_2,0,120,2,0,16,0,1,1,1,0,0,NONE,
USER_SCR_3,0,122,2,0,16,0,1,1,1,0,0,NONE,
FLSHCNT_LOW,0,124,2,0,16,0,1,1,0,0,0,NONE,
FLSHCNT_HIGH,0,126,2,0,16,0,1,1,0,0,0,NONE,
